iter	Passed	Remaining
0	146	146313
1	153	76558
2	163	54281
3	170	42375
4	178	35537
5	185	30739
6	192	27345
7	200	24840
8	207	22817
9	214	21224
10	222	19995
11	229	18854
12	236	17957
13	243	17137
14	250	16475
15	257	15864
16	265	15360
17	272	14873
18	279	14446
19	287	14075
20	294	13722
21	301	13412
22	309	13127
23	316	12884
24	325	12681
25	334	12541
26	343	12364
27	351	12209
28	360	12068
29	369	11955
30	378	11833
31	386	11690
32	394	11557
33	402	11432
34	409	11303
35	419	11230
36	428	11150
37	436	11056
38	445	10972
39	454	10900
40	462	10821
41	470	10736
42	480	10686
43	488	10602
44	497	10553
45	505	10488
46	520	10559
47	530	10526
48	539	10480
49	549	10435
50	558	10399
51	570	10408
52	580	10364
53	592	10381
54	603	10370
55	616	10395
56	626	10367
57	639	10383
58	652	10404
59	664	10405
60	675	10398
61	686	10390
62	695	10348
63	706	10338
64	717	10322
65	726	10285
66	738	10278
67	749	10266
68	761	10281
69	772	10264
70	783	10248
71	791	10199
72	800	10167
73	809	10130
74	820	10117
75	831	10106
76	840	10077
77	851	10067
78	861	10038
79	870	10010
80	880	9990
81	888	9946
82	897	9914
83	906	9885
84	915	9858
85	924	9826
86	935	9813
87	945	9801
88	954	9773
89	965	9759
90	973	9725
91	983	9705
92	993	9687
93	1003	9669
94	1014	9664
95	1024	9646
96	1034	9633
97	1046	9631
98	1056	9619
99	1070	9638
100	1082	9632
101	1093	9624
102	1102	9602
103	1112	9586
104	1121	9558
105	1130	9535
106	1139	9507
107	1147	9481
108	1156	9456
109	1165	9429
110	1174	9409
111	1183	9381
112	1192	9361
113	1200	9333
114	1210	9315
115	1218	9287
116	1230	9288
117	1243	9296
118	1254	9284
119	1264	9276
120	1276	9269
121	1286	9256
122	1296	9246
123	1309	9250
124	1321	9252
125	1332	9244
126	1345	9250
127	1357	9249
128	1370	9251
129	1381	9242
130	1392	9234
131	1406	9249
132	1419	9252
133	1429	9238
134	1439	9220
135	1449	9206
136	1459	9192
137	1470	9188
138	1480	9172
139	1490	9158
140	1499	9137
141	1508	9111
142	1516	9085
143	1523	9058
144	1532	9034
145	1539	9006
146	1548	8983
147	1555	8954
148	1564	8936
149	1573	8914
150	1583	8905
151	1592	8881
152	1601	8866
153	1611	8853
154	1620	8832
155	1629	8815
156	1637	8792
157	1646	8776
158	1655	8755
159	1665	8746
160	1675	8729
161	1685	8717
162	1695	8706
163	1704	8687
164	1714	8678
165	1724	8661
166	1733	8646
167	1744	8638
168	1752	8616
169	1762	8605
170	1770	8583
171	1779	8565
172	1789	8552
173	1798	8540
174	1809	8530
175	1818	8513
176	1828	8504
177	1838	8492
178	1848	8477
179	1859	8469
180	1869	8459
181	1880	8453
182	1891	8445
183	1900	8429
184	1910	8418
185	1920	8404
186	1930	8391
187	1940	8381
188	1948	8362
189	1959	8352
190	1967	8333
191	1978	8326
192	1989	8318
193	1998	8301
194	2009	8295
195	2018	8281
196	2029	8272
197	2040	8264
198	2049	8247
199	2060	8241
200	2070	8231
201	2079	8215
202	2090	8209
203	2100	8196
204	2112	8190
205	2123	8185
206	2135	8179
207	2144	8164
208	2155	8159
209	2163	8140
210	2174	8130
211	2184	8120
212	2193	8103
213	2204	8098
214	2214	8086
215	2225	8076
216	2237	8073
217	2246	8058
218	2255	8044
219	2265	8033
220	2275	8020
221	2290	8027
222	2301	8018
223	2313	8013
224	2323	8002
225	2333	7990
226	2341	7973
227	2352	7964
228	2361	7951
229	2371	7940
230	2382	7930
231	2390	7912
232	2400	7903
233	2410	7890
234	2419	7876
235	2430	7868
236	2439	7852
237	2449	7842
238	2459	7832
239	2470	7822
240	2480	7811
241	2488	7795
242	2499	7785
243	2509	7773
244	2519	7763
245	2530	7754
246	2538	7739
247	2550	7732
248	2560	7723
249	2570	7712
250	2583	7707
251	2593	7696
252	2602	7684
253	2612	7673
254	2621	7658
255	2630	7644
256	2639	7631
257	2648	7615
258	2657	7602
259	2667	7590
260	2677	7582
261	2688	7573
262	2697	7560
263	2709	7553
264	2718	7539
265	2729	7531
266	2741	7525
267	2750	7512
268	2762	7505
269	2773	7499
270	2783	7487
271	2793	7477
272	2803	7467
273	2812	7452
274	2821	7439
275	2831	7426
276	2841	7415
277	2850	7403
278	2860	7393
279	2871	7384
280	2880	7370
281	2891	7361
282	2901	7350
283	2912	7342
284	2924	7336
285	2935	7329
286	2946	7320
287	2958	7313
288	2969	7306
289	2979	7294
290	2992	7290
291	3005	7286
292	3015	7275
293	3026	7267
294	3037	7260
295	3049	7253
296	3060	7244
297	3072	7238
298	3084	7230
299	3094	7219
300	3106	7214
301	3120	7212
302	3133	7208
303	3143	7196
304	3155	7190
305	3166	7182
306	3175	7168
307	3187	7161
308	3197	7150
309	3205	7135
310	3215	7122
311	3223	7107
312	3232	7094
313	3239	7078
314	3248	7064
315	3256	7048
316	3264	7034
317	3272	7018
318	3281	7004
319	3288	6987
320	3296	6972
321	3303	6956
322	3311	6941
323	3318	6924
324	3326	6909
325	3334	6894
326	3342	6880
327	3350	6864
328	3358	6850
329	3366	6834
330	3373	6818
331	3381	6803
332	3388	6787
333	3396	6773
334	3404	6758
335	3412	6744
336	3420	6728
337	3428	6715
338	3436	6700
339	3444	6686
340	3452	6671
341	3460	6658
342	3468	6644
343	3477	6631
344	3485	6618
345	3494	6605
346	3502	6590
347	3510	6577
348	3518	6562
349	3527	6551
350	3536	6538
351	3544	6525
